3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 6.647201292909292458e-04 6.647201292909292458e-04
5.000000000000000000e+00 6.156952596018986160e-03 0.000000000000000000e+00
6.000000000000000000e+00 8.335854513662454765e-03 5.248348003849328744e-03
7.000000000000000000e+00 2.367948174878435272e-02 1.591090948950718911e-02
8.000000000000000000e+00 3.496804977274897697e-02 1.625688963846121798e-02
9.000000000000000000e+00 5.098306358316508774e-02 2.357339215175760158e-02
1.000000000000000000e+01 6.515568812924911468e-02 3.638068537190037449e-02
1.100000000000000000e+01 9.405000407195319989e-02 5.023781262231480360e-02
1.200000000000000000e+01 1.055819410248894918e-01 5.541166466807088964e-02
